SMILES,type,EO,PO,CMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,source
OCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,nonionic,3,0,0.0025000000018879035,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.39794001 converted to mol/L; https://github.com/sandialabs/P2SURF
OCCOCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,nonionic,4,0,0.0027999999977936303,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.44715803 converted to mol/L; https://github.com/sandialabs/P2SURF
OCCOCCOCCOCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,nonionic,6,0,0.0036999999994292328,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.56820172 converted to mol/L; https://github.com/sandialabs/P2SURF
OCCOCCOCCOCCOCCOCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,nonionic,8,0,0.0047999999958488575,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.68124124 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,nonionic,0,0,0.08299999992812687,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.91907809 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,nonionic,10,0,0.00033000000009278765,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.51851394 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)(C)CC(C)(C)c1ccc(OCCOCCO)cc1,nonionic,2,0,0.00012999999990815275,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.11394335 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCO)cc1,nonionic,3,0,9.699999994053391e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.98677173 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,nonionic,4,0,0.00012999999990815275,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.11394335 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCO)cc1,nonionic,5,0,0.0001499999999807684,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.17609126 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCO)cc1,nonionic,6,0,0.00021000000012866144,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.3222193 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,nonionic,7,0,0.00025000000018879034,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.39794001 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,nonionic,8,0,0.000279999999779363,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.44715803 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,nonionic,9,0,0.0003000000001936504,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.47712126 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCC=CCCCCCCCC(=O)OC1(OC2(CO)OC(CO)C(O)C2O)OC(CO)C(O)C(O)C1O,nonionic,0,0,5.099999998849914e-06,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=0.707570176 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCC(=O)CC(=O)NC1CCOC1=O,nonionic,0,0,9.699999994053391e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.98677173 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCC(=O)CC(=O)NC1CCOC1=O,nonionic,0,0,0.0021700000007568387,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.33645973 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCC(=O)NC1CCOC1=O,nonionic,0,0,3.999999996979354e-06,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=0.602059991 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCC(=O)NC1CCOC1=O,nonionic,0,0,1.60000000126762e-07,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=-0.795880017 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCOCC(O)CO,nonionic,0,0,0.005800000005836972,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.76342799 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCOC1OC(CO)C(O)C(O)C1O,nonionic,0,0,0.025000000018879035,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.39794001 converted to mol/L; https://github.com/sandialabs/P2SURF
