SMILES,type,EO,PO,CMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,source
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,nonionic,7,0,0.00025000000018879034,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.39794001 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,nonionic,8,0,0.000279999999779363,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.44715803 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,nonionic,9,0,0.0003000000001936504,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.47712126 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCOCCOCCOCCO,nonionic,3,0,0.1,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=5 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCOCCOCCOCCO,nonionic,3,0,0.0005999999994699769,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.77815125 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,8.700000007640026e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.93951925 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,8,0,0.012999999990815261,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.11394335 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,9,0,0.0012999999990815274,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.11394335 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCOCCS(=O)(=O)[O-],anionic,1,0,0.015899999988267906,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.20139712 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOCCOS(=O)(=O)[O-],anionic,1,0,0.0038999999997620335,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.59106461 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-],anionic,2,0,0.0029000000006747214,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.462398 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-],anionic,5,0,2.5000000018879034e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.39794001 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCC(CCCCCC)COCCOCCOCCOCCOCCOS(=O)(=O)[O-],anionic,5,0,8.599999995176808e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.93449845 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCOC(=O)CC(C(=O)OCCCC)S(=O)(=O)[O-],anionic,1,0,0.20000000015474217,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=5.30103 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCOC(=O)CC(C(=O)OCCCCC)S(=O)(=O)[O-],anionic,1,0,0.053000000048718465,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.72427587 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)[O-],anionic,1,0,0.0009099999993271958,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.95904139 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCC(C(=O)OCCCC)S(=O)(=O)[O-],anionic,1,0,0.001349999998461278,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.13033377 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCOC(=O)CC(C(=O)OCCCCCC)S(=O)(=O)[O-],anionic,1,0,0.0014000000010372378,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.14612804 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCC(C)CCCCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,0.0029699999978306858,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.47275645 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCC(C)CCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,9,0,0.0031999999976428453,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.50514998 converted to mol/L; https://github.com/sandialabs/P2SURF
CCC(C)CCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,0.1,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=5 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCC(C)CCCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,0.022999999999068294,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.36172784 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,0.796000000480816,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=5.90091307 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCOCCOCCOCCOCCO,nonionic,4,0,0.08999999990895757,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.95424251 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCOCCOCCOCCOCCOCCO,nonionic,5,0,0.09250000005558316,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.96614173 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)(C)OCCOCCOCCOCCOCCOCCO,nonionic,6,0,0.9099999993271949,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=5.95904139 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,9,0,0.012999999990815261,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.11394335 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-],anionic,3,0,7.292872635418485e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.86289863 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-],anionic,2,0,0.00012239139307217744,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.08775088 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-],anionic,1,0,0.00020469305650820885,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.31110311 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-],anionic,3,0,4.461146589242475e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.64944649 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-],anionic,2,0,9.131657308832121e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.9605496 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-],anionic,1,0,0.0001889307997687822,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.27630276 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCC(C)(C)c1ccc(OCCO)cc1,nonionic,1,0,0.00022377084301587687,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.3498035 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCC(C)(C)c1ccc(OCCOCCO)cc1,nonionic,2,0,0.00011791002080571182,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.07155072 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCC(C)(C)c1ccc(OCCOCCOCCO)cc1,nonionic,3,0,0.0001020587133739557,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.00885009 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,nonionic,4,0,0.0001261249502681519,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.10080101 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCC(C)(C)c1ccc(OCCOCCOCCOCCOCCO)cc1,nonionic,5,0,0.00014958971990610746,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.17490175 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCO)cc1,nonionic,6,0,0.00020139702038753413,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.30405304 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,nonionic,7,0,0.0002457275807869821,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.39045391 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,nonionic,8,0,0.000286354867031658,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.45690457 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,nonionic,9,0,0.00033799111901869317,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.52890529 converted to mol/L; https://github.com/sandialabs/P2SURF
