Compound No.,Mol. Wgt.,Name,Additives,Temperature,CMC,Qual. Mat. Meth.,Method,Authors,Reference,Source,Evaluation,CMC Value 1,CMC Units 1,CMC Value 2,CMC Units 2,CMC Value 3,CMC Units 3
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,,50,7.8 X10-2 D 1.11 X10-3 M,EC,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.078,D,0.00111,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,,58.5,7.0 X10-2 D 9.98 X10-4 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.07,D,0.000998,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,,69.7,6.2 X10-2 D 8.84 X10-4 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.062,D,0.000884,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,,73.4,6.0 X10-2 D 8.55 X10-4 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.06,D,0.000855,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,,75,6.0 X10-2 D 8.55 X10-4 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.06,D,0.000855,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,1.86 E 0 Q N-DECANE,09.6,1.65 X10-1 D 2.353x10-3 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.165,D,0.002353,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,2.6 E 0 Q N-DECANE,10,1.63 X10-1 D 2.325X10-3 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.163,D,0.002325,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,1.86 E 0 Q N-DECANE,30,1.05 X10-1 D 1.497x10-3 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.105,D,0.001497,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,4.4 E 0 Q N-DECANE,30,1.02 X10-1 D 1.455X10-3 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.102,D,0.001455,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,1.86 E 0 Q N-DECANE,50,7.8 X10-2 D 1.11 X10-3 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.078,D,0.00111,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,8.7 E 0 Q N-DECANE,50,7.0 X10-2 D 9.98 X10-4 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.07,D,0.000998,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,1.86 E 0 Q N-DECANE,60,7.0 X10-2 D 9.98 X10-4 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.07,D,0.000998,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,1.35 E 1 N-DECANE,60,6.8 X10-2 D 9.70 X10-4 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.068,D,0.00097,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,1.86 E 0 N-DECANE,66.6,6.2 X10-2 D 8.84 X10-4 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.062,D,0.000884,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,1.86 E Q N-DECANE,69,6.2 X10-2 D 8.84 X10-4 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.062,D,0.000884,M,,
